唯一編碼,來源系統,來源系統縮寫,文件原系統頁面URL,題名,檔案類型,書卷名,類目階層,原始時間記錄,西元年,起始時間,結束時間,相關人員,相關組織,關鍵詞,摘要/全文,,機場標籤,會議主席,提案議員,相關議員,機關,相關機關
filename,doc_source,metatags/doc_source,metatags/doc_source.href,title,doctype,compilation_name,metatags/categoryABC,time_orig_str,year_for_grouping,timeseq_not_before,timeseq_not_after,metatags/PersonName,metatags/Organization,metatags/Keywords,doc_content,metatags/customColumn0,metatags/customColumn1,metatags/customColumn7,metatags/customColumn8,metatags/customColumn9,metatags/customColumn11,metatags/customColumn12
AHTWH-238-200504115,國史館臺灣文獻館典藏管理系統,AHTWH,,東久邇殿下今朝七時四十八分,件,,臺灣拓殖株式會社/,1937-06-08~1937-06-30,1937,1937-06-08,1937-06-30,,,,東久邇殿下今朝七時四十八分,,#VALUE!,,,,,
AHTWH-238-200504117,國史館臺灣文獻館典藏管理系統,AHTWH,,御通知,件,,臺灣拓殖株式會社/,1937-06-08~1937-06-30,1937,1937-06-08,1937-06-30,,,,御通知,,#VALUE!,,,,,
AHTWH-238-201748001,國史館臺灣文獻館典藏管理系統,AHTWH,,昭和十八年佛印太原鐵礦區採礦計畫圖,件,,臺灣拓殖株式會社/,1943-05-01~1943-05-31,1943,1943-05-01,1943-05-31,,,,昭和十八年佛印太原鐵礦區採礦計畫圖,,#VALUE!,,,,,
AHTWH-238-326630011001,國史館臺灣文獻館典藏管理系統,AHTWH,,蔡萬春呈請不動產買賣有效核復案,件,,臺灣省行政長官公署/財政/債產綱官產目/買賣節,1946-09-02~1946-09-30,1946,1946-09-02,1946-09-30,,,,蔡萬春呈請不動產買賣有效核復案,,#VALUE!,,,,,
AHTWH-238-326630011002,國史館臺灣文獻館典藏管理系統,AHTWH,,蔡萬春書函更正案,件,,臺灣省行政長官公署/財政/債產綱官產目/買賣節,1946-09-26~1946-09-30,1946,1946-09-26,1946-09-30,,,,蔡萬春書函更正案,,#VALUE!,,,,,
AHTWH-238-326630011003,國史館臺灣文獻館典藏管理系統,AHTWH,,傅順南呈請不動產買賣有效核復案,件,,臺灣省行政長官公署/財政/債產綱官產目/買賣節,1946-10-26~1946-11-05,1946,1946-10-26,1946-11-05,,,,傅順南呈請不動產買賣有效核復案,,#VALUE!,,,,,
AHTWH-238-326630011004,國史館臺灣文獻館典藏管理系統,AHTWH,,李清枝呈請不動產買賣有效核復案,件,,臺灣省行政長官公署/財政/債產綱官產目/買賣節,1946-11-05~1946-11-30,1946,1946-11-05,1946-11-30,,,,李清枝呈請不動產買賣有效核復案,,#VALUE!,,,,,
AHTWH-238-303234420003,國史館臺灣文獻館典藏管理系統,AHTWH,,交通處處長任顯群公出赴京職務代理通報案,件,,臺灣省行政長官公署/總務類/人事綱任免目/經建人員任免節,1946-08-26~1946-09-05,1946,1946-08-26,1946-09-05,,,,交通處處長任顯群公出赴京職務代理通報案,,#VALUE!,,,,,
AHTWH-238-307450004003,國史館臺灣文獻館典藏管理系統,AHTWH,,臺北縣新莊郡五股庄更寮字洲子尾民眾陳春長等4員損害賠償聲請案,件,,臺灣省行政長官公署/總務類/法制綱財政法規目/糧政法規節,1946-02-06~1946-02-13,1946,1946-02-06,1946-02-13,,,,臺北縣新莊郡五股庄更寮字洲子尾民眾陳春長等4員損害賠償聲請案,,#VALUE!,,,,,
AHTWH-238-307450004004,國史館臺灣文獻館典藏管理系統,AHTWH,,臺北縣新莊郡五股庄更寮字洲子尾民眾陳彩等15員損害賠償聲請案,件,,臺灣省行政長官公署/總務類/法制綱財政法規目/糧政法規節,1946-02-05~1946-02-13,1946,1946-02-05,1946-02-13,,,,臺北縣新莊郡五股庄更寮字洲子尾民眾陳彩等15員損害賠償聲請案,,#VALUE!,,,,,
AHTWH-238-003-2260,國史館臺灣文獻館典藏管理系統,AHTWH,,機場土地處理卷,卷,,臺灣省行政長官公署/臺灣省行政長官公署/民政/土地綱總目/土地綱總目總節,1946-04-25~1946-06-28,1946,1946-04-25,1946-06-28,,,,機場土地處理卷,,#NUM!,,,,,
AHTWH-238-315100005001,國史館臺灣文獻館典藏管理系統,AHTWH,,源成農場土地請撥還案,件,,臺灣省行政長官公署/民政/土地綱總目/土地綱總目總節,1946-04-25~1946-05-04,1946,1946-04-25,1946-05-04,,,,源成農場土地請撥還案,,#VALUE!,,,,,
AHTWH-238-315100005002,國史館臺灣文獻館典藏管理系統,AHTWH,,農林處請撥還源成農場土地案,件,,臺灣省行政長官公署/民政/土地綱總目/土地綱總目總節,1946-05-17~1946-05-24,1946,1946-05-17,1946-05-24,,,,農林處請撥還源成農場土地案,,#VALUE!,,,,,
AHTWH-238-315100005003,國史館臺灣文獻館典藏管理系統,AHTWH,,臺東縣池上鄉飛機場土地請准出租耕種案,件,,臺灣省行政長官公署/民政/土地綱總目/土地綱總目總節,1946-05-28~1946-06-28,1946,1946-05-28,1946-06-28,,,,臺東縣池上鄉飛機場土地請准出租耕種案,,鄉飛機場,,,,,
AHTWH-238-315100005004,國史館臺灣文獻館典藏管理系統,AHTWH,,前日本徵用機場土地撥還民間案,件,,臺灣省行政長官公署/民政/土地綱總目/土地綱總目總節,1946-05-06~1946-05-20,1946,1946-05-06,1946-05-20,,,,前日本徵用機場土地撥還民間案,,徵用機場,,,,,
AHTWH-238-315100008012,國史館臺灣文獻館典藏管理系統,AHTWH,,塩水南機場土地歸還糖廠案,件,,臺灣省行政長官公署/民政/土地綱總目/土地綱總目總節,1946-11-20~1946-12-05,1946,1946-11-20,1946-12-05,,,,塩水南機場土地歸還糖廠案,,水南機場,,,,,
